;sum_click;code_module;code_presentation;gender;region;highest_education;age_band;studied_credits
112;2793;3;3;2;2;4;2;60
113;2793;5;2;2;2;4;2;60
114;2275;3;4;1;8;4;2;60
115;2275;6;3;1;8;4;2;60
117;327;6;1;2;11;4;2;90
118;1064;6;1;2;10;3;2;60
119;517;5;2;2;2;4;2;60
122;299;1;2;2;2;4;1;60
123;494;1;2;1;3;3;1;120
127;686;6;3;2;3;3;2;60
128;912;3;3;2;1;4;2;60
130;476;4;3;1;1;3;2;60
131;162;1;4;2;7;4;2;60
132;87;5;4;2;11;3;1;30
134;1337;6;4;2;4;3;1;60
136;792;2;2;1;11;3;2;120
137;159;4;2;1;1;3;1;120
138;155;2;2;1;5;2;1;60
140;938;6;3;2;8;4;1;60
141;751;3;3;2;9;4;1;90
143;223;7;3;2;12;2;1;30
147;1108;6;1;2;5;4;2;60
148;213;4;3;1;10;4;1;60
150;378;4;3;2;5;3;1;60
151;418;4;4;1;8;3;1;60
152;434;4;4;1;11;4;2;60
153;432;4;2;2;13;4;2;60
154;573;6;2;2;5;2;1;120
156;795;6;2;1;13;2;1;90
158;524;1;2;1;1;3;1;90
160;86;7;4;1;2;2;2;30
161;1100;1;4;1;12;2;2;120
163;396;6;2;1;7;2;1;60
165;567;4;1;1;1;4;1;60
169;332;5;2;2;1;3;1;30
174;110;2;2;1;13;3;2;60
175;479;1;4;1;5;3;1;60
180;1104;6;4;2;11;2;1;90
182;54;2;4;1;13;3;1;60
183;292;3;3;1;1;3;1;120
185;355;1;2;2;8;2;2;60
186;914;4;2;2;6;3;2;60
187;376;6;2;2;10;3;1;60
188;627;1;4;2;1;4;3;60
189;371;1;4;1;6;3;1;120
190;509;6;1;2;7;3;1;120
192;604;6;2;2;2;3;1;90
193;471;1;2;1;1;3;1;60
194;1128;6;4;2;8;3;2;90
195;306;1;2;2;1;2;2;60
196;330;2;4;1;4;2;1;60
198;667;4;2;2;9;3;2;180
200;249;2;3;1;6;4;2;120
201;795;4;1;1;5;3;1;60
202;161;7;4;1;13;3;2;30
203;179;7;2;1;12;3;2;30
205;1037;3;4;2;4;2;1;120
206;1037;5;4;2;4;2;1;120
207;348;2;3;1;8;4;1;120
208;890;3;4;1;1;2;1;30
212;647;5;4;2;5;2;1;60
213;857;1;2;1;3;4;1;60
215;257;1;4;1;11;3;1;60
218;603;5;2;2;4;2;2;60
220;317;1;4;2;4;3;2;60
221;215;6;2;2;8;4;2;150
222;761;3;4;2;9;2;1;30
223;655;1;2;2;2;2;2;60
224;128;2;4;1;3;3;2;120
226;351;2;3;1;4;2;1;60
227;108;7;4;1;9;2;1;30
232;845;6;4;2;13;3;1;60
234;221;7;3;2;13;2;2;30
236;310;6;1;2;5;3;2;150
238;267;6;2;2;2;3;1;60
240;314;5;2;2;8;3;1;60
241;162;7;2;1;8;3;2;30
242;320;5;4;2;9;2;1;60
244;734;5;4;2;8;3;1;180
245;780;4;3;1;8;3;1;60
246;449;4;1;1;13;2;1;120
249;864;6;2;1;13;3;1;60
250;504;4;2;2;12;4;1;60
251;392;4;4;2;2;2;1;60
257;238;3;3;2;12;2;1;120
258;1591;1;4;1;2;4;1;60
260;672;5;2;2;6;2;1;120
261;219;3;3;2;2;4;2;30
262;145;1;2;1;5;3;2;60
263;1459;3;4;2;2;2;1;60
264;1459;6;2;2;2;2;1;60
265;457;5;3;2;13;2;2;120
268;857;6;4;2;7;2;2;60
269;261;4;2;2;4;2;2;60
270;303;6;2;2;3;2;1;60
271;643;1;2;2;9;4;2;60
272;288;2;4;1;1;3;2;120
273;307;6;1;2;8;3;1;60
274;493;4;4;1;11;2;1;60
279;205;2;3;1;1;3;1;120
281;367;6;1;1;12;2;1;140
283;529;2;2;1;8;4;1;120
286;371;6;4;2;5;3;1;60
289;1372;4;2;1;6;2;1;120
290;266;6;3;2;7;4;2;120
292;801;2;2;1;6;3;2;60
293;731;2;1;1;7;2;1;90
294;107;2;1;1;3;2;1;180
295;623;1;2;2;10;3;2;60
296;1360;6;4;2;7;2;2;60
297;307;1;4;2;3;3;1;120
299;223;2;1;1;1;2;2;60
301;665;3;3;2;10;3;1;120
305;457;3;4;2;13;4;2;30
307;250;1;2;2;11;3;1;60
308;302;6;4;2;6;4;2;60
309;529;6;2;2;3;3;1;60
311;511;4;1;2;1;4;2;150
313;179;6;4;2;11;3;1;60
316;421;6;2;2;8;3;1;90
319;484;6;4;2;5;3;1;60
322;467;5;4;2;2;2;1;120
323;649;6;4;2;11;3;1;120
326;1032;2;2;1;10;2;2;60
327;323;4;4;2;6;3;2;60
328;3233;3;4;2;10;2;1;60
329;3233;4;2;2;10;2;1;60
333;132;7;2;1;4;2;1;30
334;160;2;1;1;6;2;1;180
336;223;3;3;2;5;4;1;30
337;330;2;1;1;1;2;1;60
338;756;3;3;1;5;3;1;60
339;756;5;3;1;5;3;1;60
340;383;2;1;1;13;4;2;60
342;682;6;3;2;13;3;2;60
344;308;2;1;2;6;3;1;120
346;530;6;3;2;13;3;1;120
348;640;4;3;2;6;4;2;150
349;1391;6;4;1;7;3;2;90
351;154;2;1;1;3;3;2;60
352;166;2;2;1;1;3;1;120
353;207;1;4;1;10;2;1;60
354;293;1;4;2;2;3;2;60
356;609;1;4;2;13;2;2;60
361;344;4;1;1;6;4;1;60
364;349;4;1;1;10;4;1;60
365;432;6;1;2;1;2;1;60
366;1360;6;4;2;4;2;1;60
367;407;6;4;2;6;2;1;120
369;402;2;1;2;11;3;2;75
370;133;7;2;1;13;3;1;30
372;358;4;4;1;1;4;1;60
373;669;5;2;2;3;4;2;30
374;439;4;1;2;3;3;2;120
375;636;4;2;1;8;3;1;60
376;179;5;4;2;8;4;1;30
378;349;2;4;1;8;4;1;120
379;1137;6;1;2;12;2;1;60
380;334;4;3;2;6;2;2;60
381;279;2;2;1;6;4;2;60
382;82;2;3;1;6;4;2;60
383;496;4;3;1;2;3;1;60
386;426;6;2;2;8;4;2;120
390;454;1;2;2;3;4;1;60
391;288;2;1;1;12;3;2;60
392;603;4;4;1;1;3;1;60
395;352;2;1;1;1;3;1;60
396;453;2;1;1;6;4;2;120
397;228;3;3;2;5;2;2;120
403;386;3;3;1;11;3;1;120
404;121;7;2;1;13;3;2;30
406;138;7;3;1;4;2;1;30
407;88;2;2;2;4;2;1;180
409;245;4;1;1;13;4;1;60
415;291;2;1;1;7;3;1;60
418;124;2;2;1;6;4;2;60
420;257;1;2;2;6;2;2;60
422;226;2;2;1;2;4;2;60
423;62;2;1;1;2;4;2;60
425;142;2;2;1;13;2;2;60
426;78;2;4;1;8;2;1;60
431;817;6;1;1;1;3;1;120
432;1375;6;2;1;5;3;2;60
434;1114;6;2;2;2;4;1;90
435;217;1;2;2;12;3;1;60
436;617;1;4;1;1;2;2;60
439;935;6;2;2;12;2;1;120
441;732;1;2;2;8;2;2;60
443;307;4;4;1;2;4;2;60
444;751;6;2;2;1;3;1;60
445;735;1;2;2;3;3;1;60
447;563;4;2;1;10;3;2;165
448;1134;6;4;2;4;2;1;60
449;266;1;2;2;13;4;1;60
450;367;2;4;1;9;2;2;60
451;142;2;3;1;10;3;1;120
452;102;4;2;2;6;3;1;90
454;485;4;1;2;8;4;1;60
456;375;2;1;1;4;2;2;120
457;499;6;2;2;10;3;1;60
460;476;4;2;1;10;3;1;60
465;370;3;4;2;10;4;2;100
466;610;3;3;2;2;4;2;90
467;610;4;2;2;2;4;2;90
468;364;2;2;1;2;4;2;120
469;1237;6;2;2;4;3;2;60
470;176;2;2;1;5;3;1;60
471;886;2;2;1;3;3;2;60
472;561;6;4;2;7;3;1;60
473;302;2;4;1;3;3;1;60
475;231;4;4;1;12;2;1;60
476;190;1;2;2;11;2;1;60
477;350;2;2;1;2;3;2;60
483;742;6;1;1;8;3;2;60
484;1090;3;3;1;2;4;1;60
485;1090;5;2;1;2;4;1;60
487;1093;1;4;1;13;4;1;60
489;111;2;2;1;8;3;2;60
490;637;6;3;2;8;1;1;120
491;677;5;4;2;2;4;2;30
492;610;2;1;1;8;2;2;120
493;636;5;4;2;10;2;1;60
495;159;2;1;1;9;3;1;60
497;1394;6;3;2;8;2;2;60
499;537;2;4;2;10;3;1;60
500;325;1;4;2;13;4;3;60
501;758;1;4;1;8;4;1;60
502;437;2;2;1;10;2;1;60
503;222;2;4;1;4;3;1;120
505;589;6;4;2;3;3;1;120
506;60;7;3;1;8;3;1;30
508;213;2;1;1;6;4;1;120
509;308;1;2;2;1;4;2;60
512;415;4;4;2;9;2;2;60
514;555;4;4;1;1;4;2;120
515;206;5;4;1;11;2;1;60
517;1178;2;1;1;1;3;1;60
518;1178;6;2;1;1;3;1;60
519;123;2;4;1;2;2;1;60
523;500;1;2;1;1;4;2;60
524;663;2;2;1;10;3;2;120
526;793;4;1;2;8;4;2;60
527;211;7;3;1;5;3;1;30
528;393;3;4;2;4;4;1;30
529;869;1;2;2;12;2;2;60
530;398;6;2;2;6;3;1;180
534;614;3;4;1;10;3;2;60
535;206;2;4;1;4;2;1;90
537;796;4;2;2;7;2;1;60
538;476;1;2;2;12;4;2;60
539;741;6;1;2;8;2;1;60
542;65;7;3;1;1;2;1;30
544;261;3;3;2;13;4;1;80
546;428;1;2;2;6;4;1;60
547;362;2;1;1;2;4;2;60
548;156;2;4;2;11;3;2;60
549;1141;6;3;2;7;3;1;60
550;273;1;2;2;1;3;2;60
551;1934;6;2;2;2;4;3;60
553;196;5;2;1;8;3;1;130
554;807;3;3;2;9;3;1;90
555;807;6;2;2;9;3;1;90
556;526;4;3;2;8;3;1;60
558;940;6;3;2;1;3;1;90
559;596;2;4;1;10;2;2;60
561;251;2;3;1;8;3;1;120
562;396;1;4;1;13;3;2;60
564;309;6;2;2;1;2;1;90
568;934;4;3;2;9;3;1;60
569;1004;6;1;2;4;2;1;60
570;569;6;1;2;1;4;2;60
572;102;1;2;2;11;4;1;120
574;528;6;4;2;3;2;1;150
576;725;6;1;2;7;3;2;60
578;123;7;3;1;11;2;1;30
580;584;6;4;2;10;3;1;60
587;51;7;4;2;3;3;1;30
590;301;3;3;2;13;3;2;60
591;86;7;2;1;1;2;1;90
594;216;7;2;1;12;2;1;30
596;532;1;2;2;8;3;2;60
597;136;2;4;1;5;3;1;120
598;931;4;4;2;6;4;2;60
601;817;4;2;2;2;3;1;90
602;487;2;2;2;7;2;1;90
603;571;2;1;1;1;3;2;60
606;683;1;4;1;4;3;1;120
608;341;3;3;2;1;4;2;30
609;404;5;4;2;7;3;1;60
613;708;2;2;2;12;2;2;60
614;254;7;3;2;3;4;2;30
615;516;1;4;2;8;4;2;60
616;261;2;3;1;11;3;1;60
618;77;7;4;1;1;2;1;30
622;592;6;1;2;3;3;1;60
626;832;3;3;2;6;3;1;120
627;832;4;2;2;6;3;1;120
628;374;3;3;2;13;3;1;30
629;587;5;4;2;3;3;1;60
630;138;2;3;2;6;3;1;60
631;130;2;3;1;13;3;1;120
632;354;2;4;1;11;3;2;120
634;1125;4;2;1;11;3;1;120
636;1014;4;3;1;8;2;1;60
637;398;1;2;1;11;3;1;180
638;135;4;2;2;12;3;1;150
640;324;6;3;2;13;3;1;60
645;141;4;2;1;7;3;1;60
649;282;5;2;1;7;3;1;145
651;592;6;3;2;12;3;2;60
652;422;5;3;2;11;4;1;30
654;215;7;2;1;8;2;1;30
657;678;6;4;2;1;4;2;60
659;559;4;4;2;10;3;1;60
660;117;2;3;1;1;3;1;60
661;576;1;4;1;1;3;2;60
662;944;6;1;1;13;2;2;60
663;324;6;4;2;4;2;1;60
664;413;4;2;2;5;3;1;60
665;299;1;4;1;8;3;2;60
666;116;1;4;2;4;3;1;60
667;621;6;2;2;10;3;3;60
669;394;4;2;1;5;2;1;60
671;614;6;3;2;8;3;1;60
672;2140;3;3;2;10;3;1;90
673;2140;4;1;2;10;3;1;60
675;1164;3;4;2;8;3;2;60
676;1164;4;2;2;8;3;1;60
678;949;6;1;2;12;2;1;120
679;47;7;4;2;8;3;2;30
680;49;1;4;2;1;3;2;60
681;403;6;3;2;5;3;1;60
683;633;4;4;2;12;3;1;60
685;262;5;4;1;4;3;1;60
687;238;5;2;2;4;4;1;60
689;878;6;3;2;13;3;2;60
692;403;6;2;2;11;3;1;60
693;1048;6;4;1;2;4;1;60
694;195;6;3;2;13;2;1;60
698;112;7;4;1;10;2;2;30
699;126;1;2;1;1;2;2;120
700;904;6;2;2;6;2;1;60
701;342;7;3;2;1;3;2;60
702;766;3;3;2;13;2;1;120
703;766;6;3;2;13;2;1;120
704;228;2;1;1;12;4;2;60
705;624;6;2;2;1;3;1;120
707;904;4;4;1;11;3;2;60
711;702;1;4;1;8;3;2;60
712;235;1;4;2;7;2;1;60
714;1078;4;1;2;13;3;1;60
715;168;7;3;1;5;2;2;30
716;449;1;2;1;4;3;2;60
717;421;4;1;2;10;3;1;60
719;392;5;4;2;7;3;1;60
720;922;4;4;1;1;3;1;90
721;319;6;1;2;8;3;1;90
726;212;5;2;2;6;2;1;60
727;693;6;1;2;1;3;2;60
728;592;6;4;2;7;2;1;120
733;734;4;2;1;1;3;2;60
735;547;1;4;2;1;2;2;60
738;562;6;3;1;7;4;1;90
740;534;6;2;2;5;3;1;90
744;1185;1;2;2;10;3;2;60
748;370;4;3;2;7;2;1;60
749;378;4;3;2;10;3;1;60
751;212;7;2;2;11;3;1;30
753;218;3;4;2;13;4;1;90
757;582;6;2;2;11;2;1;150
758;830;6;4;2;6;2;1;60
759;179;2;3;1;2;3;1;60
761;648;6;1;1;10;2;1;60
762;415;5;2;2;5;3;2;50
765;701;4;2;1;1;3;1;60
766;459;6;1;2;1;3;1;60
767;717;6;1;2;7;1;1;120
771;1258;6;2;1;8;3;1;120
773;128;7;4;2;10;2;1;30
774;563;3;4;2;3;4;2;120
775;563;5;4;2;3;4;2;120
776;425;6;4;2;2;3;1;180
778;562;1;2;1;7;3;2;60
779;212;4;1;2;5;3;1;90
780;971;3;3;1;13;2;2;60
783;610;6;1;1;10;3;1;90
784;458;5;2;2;1;3;1;60
785;236;2;1;1;13;3;1;120
786;1032;6;4;1;11;2;2;60
787;674;5;2;2;3;2;2;110
789;824;3;4;1;13;4;1;30
790;824;5;3;1;13;4;1;30
791;1404;1;2;1;8;4;2;60
792;509;4;2;2;1;3;1;60
796;544;4;3;1;10;3;1;60
797;136;1;2;2;10;4;1;120
799;373;3;3;2;12;2;1;60
802;365;2;1;2;11;3;1;60
804;805;3;4;2;1;3;1;60
805;805;4;3;2;1;3;1;60
810;90;2;2;1;6;3;2;60
814;205;1;4;2;1;2;2;120
815;145;2;2;1;9;2;1;120
817;673;6;2;2;1;3;1;60
819;260;5;2;1;13;3;1;90
820;1676;6;1;2;7;3;2;60
821;942;4;4;1;8;3;1;60
829;236;2;3;1;4;3;1;120
832;636;6;4;2;13;3;1;60
834;569;6;1;2;12;2;1;60
835;491;1;4;1;2;3;2;60
836;65;1;4;2;5;3;1;60
837;412;6;4;2;9;3;1;60
838;492;2;4;1;11;3;1;60
840;1561;6;1;2;7;2;2;100
841;77;1;2;1;13;3;1;150
842;556;6;1;2;11;3;2;60
845;159;2;1;1;11;3;1;60
846;281;4;4;2;2;3;1;90
849;592;3;3;1;5;3;1;120
850;1863;6;4;2;5;3;2;120
852;1711;6;3;2;3;2;2;60
854;82;7;3;1;7;3;2;30
856;680;2;1;2;5;3;1;60
857;1372;6;4;2;3;3;2;150
858;92;2;1;1;3;2;2;60
859;998;3;3;1;1;3;2;30
860;225;2;4;1;2;2;2;120
862;444;4;4;1;6;3;1;120
864;1036;6;1;1;3;2;1;60
867;203;2;2;1;4;3;1;60
868;243;2;1;1;4;2;1;60
870;353;6;2;2;1;3;1;180
873;401;6;2;2;2;2;2;60
874;161;2;1;1;3;4;1;60
876;404;6;3;2;13;3;1;60
877;114;7;2;2;4;3;1;30
878;605;3;4;2;8;3;1;60
879;605;6;2;2;8;3;1;60
880;537;2;4;1;10;2;2;120
881;793;6;1;2;4;3;1;60
882;289;2;3;1;8;2;1;60
883;788;1;2;1;11;3;2;60
884;506;6;4;2;8;3;1;60
886;135;3;3;2;7;3;1;60
889;430;6;2;2;10;3;1;60
890;230;2;2;1;13;3;2;60
891;474;4;2;2;12;2;1;60
894;523;2;1;1;13;3;2;60
895;121;2;2;1;11;2;1;60
897;612;2;3;1;3;3;2;60
898;454;4;1;2;4;2;2;60
899;422;6;1;1;10;4;1;180
901;387;4;2;1;12;2;1;210
902;324;1;2;1;10;3;1;60
907;362;5;4;2;1;4;1;30
908;287;5;3;2;13;3;1;60
909;660;5;4;2;2;4;1;90
910;365;2;3;2;4;3;1;120
914;281;6;4;2;11;2;2;60
917;1425;4;1;1;2;4;2;60
920;630;3;3;2;1;3;2;60
922;117;7;3;1;5;3;1;30
923;525;3;4;1;8;2;1;180
924;525;5;2;1;8;2;1;180
926;135;7;3;1;1;4;1;30
927;401;6;2;2;8;4;1;60
928;254;2;2;1;2;3;1;120
932;579;5;4;2;3;2;2;90
935;597;6;2;2;12;3;1;60
938;454;4;1;1;4;2;1;60
939;834;6;2;2;2;3;2;60
942;822;6;4;1;7;3;1;60
943;191;7;3;1;1;3;2;30
944;231;1;2;2;2;3;1;60
946;119;7;2;1;1;2;1;30
947;349;4;2;2;3;4;1;60
948;543;1;4;1;1;3;1;60
950;563;5;2;2;2;4;1;45
954;350;2;1;2;6;3;2;60
955;167;5;3;1;13;3;1;120
957;141;5;2;2;12;3;1;90
964;526;6;4;2;1;2;1;60
965;402;3;3;1;8;4;1;30
967;767;6;1;2;11;2;1;60
968;352;4;1;2;7;3;1;60
969;534;6;1;2;8;2;1;60
971;730;4;1;2;7;2;1;60
972;464;4;1;1;13;4;1;90
975;676;3;3;2;3;3;2;60
976;676;5;3;2;3;3;2;60
977;464;1;2;1;12;3;2;60
979;527;1;4;2;10;4;3;60
980;303;3;3;2;13;3;2;30
981;1339;6;2;2;3;3;2;90
982;282;1;2;1;5;2;2;60
983;205;2;4;2;9;2;2;60
984;621;4;2;2;5;3;1;120
986;356;3;3;2;11;3;2;60
987;228;2;4;1;6;4;1;120
995;407;4;1;1;1;4;1;60
996;959;3;4;2;6;4;1;60
998;1538;3;3;2;2;4;2;60
999;491;6;4;2;7;3;1;60
1000;109;5;3;2;3;4;2;60
1005;142;2;3;1;10;3;2;60
1006;193;5;4;2;11;2;1;90
1008;904;4;1;1;4;3;1;60
1009;628;1;2;2;9;4;2;60
1010;485;2;3;1;6;3;2;60
1012;678;6;4;2;7;3;1;90
1013;330;1;2;1;9;3;2;60
1018;476;4;2;2;8;2;1;60
1020;621;5;2;2;1;4;2;90
1021;526;5;2;1;5;4;2;30
1023;151;1;4;2;7;3;2;60
1024;941;1;4;1;4;2;2;60
1025;200;2;2;1;10;2;1;60
1028;256;1;4;1;11;3;2;60
1029;1402;1;2;2;1;4;3;60
1031;1166;1;2;2;7;4;2;60
1032;1132;1;4;2;13;3;2;60
1033;323;6;2;2;2;4;1;60
1034;697;3;3;1;8;4;1;60
1036;357;1;2;2;3;4;2;60
1037;252;5;4;2;13;3;1;60
1040;428;4;1;1;10;3;2;70
1042;541;4;1;1;2;2;1;120
1044;937;6;4;2;5;4;1;60
1048;327;3;3;2;2;3;1;30
1049;507;4;2;1;13;1;1;120
1052;624;6;3;2;13;2;1;150
1053;133;3;3;2;7;4;1;30
1055;60;2;2;2;10;3;1;120
1058;813;4;1;1;13;4;1;60
1061;490;4;2;2;12;2;1;60
1062;878;4;1;2;3;3;2;60
1063;814;1;2;2;10;3;1;120
1065;1015;3;3;2;7;2;2;30
1068;558;6;1;2;9;4;1;60
1070;380;3;4;1;4;2;2;60
1071;274;6;1;2;3;2;1;120
1074;328;3;4;2;5;3;1;80
1075;223;1;4;2;6;2;1;60
1076;467;1;2;1;10;3;1;60
1081;1234;4;1;2;10;2;1;60
1082;337;1;2;2;13;3;1;180
1084;102;7;3;1;8;3;1;30
1085;449;1;2;2;10;4;2;170
1086;1010;4;4;2;7;2;2;60
1087;224;6;2;2;2;3;1;60
1088;277;2;4;1;2;2;1;60
1091;673;5;3;2;9;4;1;30
1092;385;3;4;2;13;3;1;60
1095;596;6;4;2;1;3;1;60
1096;496;1;2;2;2;4;2;60
1097;834;6;1;2;1;4;1;60
1098;217;5;3;2;3;3;1;30
1099;1532;1;2;2;4;3;2;60
1100;349;6;2;2;7;2;1;60
1101;140;2;3;1;8;4;2;60
1102;459;3;3;1;8;2;2;90
1103;334;2;3;1;10;3;2;135
1105;179;4;3;2;7;4;1;60
1106;555;2;1;2;4;2;1;120
1108;217;5;3;2;6;3;1;120
1109;445;3;4;1;1;3;1;60
1110;445;5;2;1;1;3;1;60
1112;541;3;4;2;2;4;1;60
1113;541;5;3;2;2;4;1;30
1114;152;2;4;1;9;3;2;120
1116;353;2;3;1;11;2;1;60
1117;226;5;4;2;5;2;2;30
1118;327;4;4;1;4;4;2;120
1120;168;3;3;1;8;2;1;30
1122;1278;3;3;2;5;3;1;150
1123;1278;4;2;2;5;3;1;150
1124;322;5;2;1;5;3;1;30
1125;178;7;2;1;5;2;2;30
1126;386;1;2;2;2;3;1;120
1128;912;6;3;2;1;3;1;120
1129;103;2;3;1;6;2;2;60
1132;564;5;4;2;2;4;1;120
1134;348;6;3;2;9;4;1;90
1136;396;2;2;1;1;2;2;60
1139;368;6;3;2;13;2;2;90
1141;197;3;3;1;3;3;1;30
1143;109;2;4;1;6;4;2;60
1145;698;1;2;1;10;2;1;60
1146;608;4;3;2;5;3;1;120
1147;268;4;1;2;13;2;2;60
1148;545;4;4;1;8;4;1;120
1149;282;2;1;2;6;3;2;120
1150;876;6;2;2;10;2;1;90
1151;325;2;4;1;11;2;2;60
1156;410;2;4;1;10;4;1;120
1157;499;2;1;1;6;2;2;60
1158;914;6;4;2;12;2;1;90
1159;172;2;2;1;6;3;1;60
1164;324;6;3;1;13;3;1;120
1166;294;5;4;2;4;2;1;60
1167;151;2;4;1;6;2;1;60
1168;427;5;4;2;5;2;2;60
1169;262;3;4;1;2;4;1;60
1171;199;2;2;1;3;3;1;60
1173;494;5;2;2;6;4;1;60
1175;263;6;4;1;12;3;1;90
1176;408;2;1;1;13;4;2;60
1178;448;2;2;1;4;3;2;60
1179;411;7;4;1;1;3;2;30
1184;686;2;1;2;12;2;2;60
1185;486;6;4;2;2;2;1;90
1186;186;2;2;1;8;1;1;60
1187;621;6;1;1;8;3;2;60
1190;1192;6;2;2;3;2;1;60
1191;490;6;1;2;1;4;1;60
1192;444;2;1;1;2;4;1;60
1193;439;1;4;2;1;3;2;60
1196;641;1;4;2;11;4;2;60
1197;832;5;2;2;1;4;2;30
1201;286;1;4;2;8;3;1;60
1202;276;1;2;2;13;2;2;60
1203;551;4;3;1;10;3;1;60
1205;329;3;4;2;4;3;1;60
1206;116;2;3;1;6;2;2;120
1208;415;2;3;1;6;3;1;60
1209;589;6;1;2;6;3;2;90
1211;610;5;4;2;9;4;1;60
1213;356;5;2;2;13;2;2;60
1214;603;4;2;1;7;3;1;60
1217;338;2;1;1;5;2;1;60
1218;78;2;2;2;12;2;1;60
1222;131;7;3;1;13;2;2;30
1224;1196;4;4;1;10;2;1;120
1225;469;4;2;2;3;4;1;60
1226;531;3;3;2;8;3;1;30
1227;486;7;3;2;3;4;2;90
1229;159;2;1;1;13;3;1;120
1230;422;4;1;2;13;4;1;120
1231;503;1;2;2;10;4;2;60
1234;848;3;3;2;1;3;1;60
1235;848;5;2;2;1;3;1;60
1236;441;4;2;2;9;4;2;60
1237;189;1;4;2;10;4;2;60
1239;539;2;2;1;1;2;2;120
1240;252;2;3;1;4;3;2;60
1241;603;3;3;2;3;4;2;40
1243;821;6;2;2;10;3;1;90
1245;202;2;3;1;1;3;1;60
1246;563;2;1;1;4;3;1;60
1247;241;2;4;1;8;3;1;60
1248;242;7;4;1;2;4;2;30
1249;60;7;4;2;10;3;1;30
1254;776;3;3;2;13;2;1;60
1255;776;5;2;2;13;2;1;60
1257;734;6;3;2;13;2;1;60
1261;687;1;2;1;13;3;2;60
1264;1083;1;4;2;2;3;2;60
1266;135;1;2;2;13;4;1;60
1267;395;6;3;2;5;2;1;60
1269;154;1;2;2;11;2;1;60
1271;763;4;3;1;8;3;1;60
1272;441;1;4;2;12;4;1;60
1273;382;2;3;1;13;3;1;90
1274;758;6;4;2;5;2;1;110
1276;434;6;2;2;11;3;1;120
1277;655;6;1;2;1;3;1;60
1278;1189;6;3;2;1;2;2;60
1280;254;2;3;1;6;4;1;120
1281;294;4;2;1;8;3;2;90
1283;139;1;2;2;5;3;1;60
1284;177;2;1;1;1;3;1;60
1286;302;1;2;2;11;3;1;60
1288;134;2;1;1;5;2;1;60
1291;333;2;2;1;11;3;1;120
1292;424;6;1;2;13;2;1;90
1293;539;2;4;1;12;3;1;60
1297;292;5;4;2;2;3;2;30
1299;586;6;2;2;8;2;2;60
1301;250;4;2;2;10;3;1;120
1308;930;6;4;2;3;2;1;60
1309;956;6;3;2;12;2;1;150
1310;156;1;4;2;8;2;2;60
1311;564;6;2;2;8;3;1;180
1313;294;2;3;1;4;2;1;60
1314;998;6;2;1;1;3;1;60
1315;407;2;1;1;6;2;1;60
1316;382;4;3;2;8;4;2;60
1318;1073;6;2;2;1;2;2;60
1319;1272;6;2;2;11;3;1;90
1320;69;2;3;1;5;3;1;60
1321;253;7;2;1;4;2;1;150
1322;777;5;2;1;10;2;1;60
1323;367;5;4;2;12;3;1;30
1325;885;5;4;2;10;3;1;60
1326;1363;2;2;1;3;2;2;60
1327;1091;4;1;2;10;3;1;60
